Sysdig,MCP-Other,71%,33%,25%,75%,8%,0%,93%,0%,17%,44%
AOE,DPE-SPG,71%,67%,100%,75%,38%,50%,6%,33%,17%,42%
Digital Help - Transaction Widget,DPE-DHX,43%,17%,0%,75%,23%,50%,73%,33%,33%,42%
Splunk,DPE-DES,57%,0%,75%,100%,46%,0%,40%,0%,50%,42%
Alias Desktop products with Shared View,DCP-Automotive & Conceptual Design,14%,67%,0%,100%,8%,75%,67%,0%,33%,40%
Apigee,DPE-DES,86%,67%,100%,100%,54%,0%,0%,0%,0%,40%
EAGLE Content Server,MCP-Manufacturing,57%,50%,100%,100%,23%,50%,13%,0%,50%,40%
FormIt Pro,MCP-Construction,29%,100%,75%,25%,23%,100%,0%,0%,100%,40%
Quay,DPE-DES,71%,0%,75%,100%,31%,0%,40%,0%,50%,40%
Storebox,DPE-DES,43%,0%,0%,100%,62%,0%,53%,0%,33%,40%
Wiki,DPE-DES,43%,0%,75%,100%,46%,0%,40%,0%,50%,40%
Digital Help - AKN Website,DPE-DHX,71%,17%,0%,75%,23%,50%,47%,0%,50%,39%
Digital Help - Services Marketplace,DPE-DHX,57%,17%,0%,75%,15%,50%,67%,0%,33%,39%
Digital Help - Unified Profile,DPE-DHX,57%,17%,0%,75%,15%,25%,80%,0%,17%,39%
Elastic,DPE-DES,43%,0%,75%,100%,46%,0%,33%,0%,50%,39%
Factory Asset Warehouse,MCP-Other,43%,33%,75%,100%,31%,50%,13%,33%,50%,39%
VRED (desktop product with shared views since 2019),DCP-Automotive & Conceptual Design,29%,67%,0%,100%,0%,75%,60%,0%,33%,39%
Forge HFRS,MCP-Cloud Platform,29%,50%,25%,22%,0%,100%,50%,0%,100%,37%
Java Activation Apps,DPE-SPG,57%,50%,0%,100%,38%,25%,12%,33%,50%,37%
Cleo Harmony,DPE-DES,43%,0%,75%,75%,31%,0%,40%,0%,50%,35%
AEM dotcom,DPE-DEC,57%,17%,50%,100%,23%,50%,0%,33%,67%,34%
AEM In-Product Messaging,DPE-DEC,57%,17%,50%,100%,23%,25%,0%,33%,67%,32%
Buzzsaw,MCP-Construction,100%,50%,0%,25%,8%,25%,27%,0%,50%,32%
Qlikview,DPE-DES,100%,0%,0%,75%,46%,25%,13%,33%,0%,32%
RedRocket,DPE-SPG,43%,50%,0%,100%,8%,25%,53%,0%,0%,32%
